v1,v2,,,
Not Interested,Tell me they're female :V how're you throwing in? We're deciding what all to get now,,,
Interested,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,,,
Not Interested,I'm working technical support :)voice process.networking field.,,,
Interested,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,,,
Interested,Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.,,,
Not Interested,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,,,
More information,"That's fine, I'll bitch at you about it later then",,,
Not Interested,No my mum went 2 dentist.,,,
Interested,Once free call me sir. I am waiting for you.,,,
Not Interested,Meeting u is my work. . . Tel me when shall i do my work tomorrow,,,
Interested,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,,,
Not Interested,Jus finish bathing...,,,
Interested,"alright, I'll make sure the car is back tonight",,,
Interested,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,,,
Not Interested,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,,,
More information,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.,,,
Not Interested,Aight ill get on fb in a couple minutes,,,
Interested,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,,,
Not Interested,Where can download clear movies. Dvd copies.,,,
Interested,"Yep, by the pretty sculpture",,,
Not Interested,Convey my regards to him,,,
Interested,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI,,,
Interested,You tell what happen dont behave like this to me. Ok no need to say,,,
Not Interested,Can u get pic msgs to your phone?,,,
More information,Send to someone else :-),,,
Not Interested,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,,,
Interested,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..,,,
Not Interested,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)",,,
Interested,I don't think he has spatula hands!,,,
Not Interested,You can never do NOTHING,,,
Interested,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99,,,
Interested,Goodmorning today i am late for  &lt;DECIMAL&gt; min.,,,
Not Interested,WIN URGENT! Your mobile number has been awarded with a å£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,,,
More information,Please da call me any mistake from my side sorry da. Pls da goto doctor.,,,
Not Interested,Where r we meeting?,,,
Interested,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home.",,,
Not Interested,Now only i reached home. . . I am very tired now. . I will come tomorro,,,
Interested,Ryder unsold.now gibbs.,,,
Not Interested,Dear Subscriber ur draw 4 å£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062,,,
Interested,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.,,,
Interested,NO GIFTS!! You trying to get me to throw myself off a cliff or something?,,,
Not Interested,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.,,,
More information,You busy or can I come by at some point and figure out what we're doing tomorrow,,,
Not Interested,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",,,
Interested,Black shirt n blue jeans... I thk i c Ì_...,,,
Not Interested,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,,,
Interested,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,,,
Not Interested,on hen night. Going with a swing,,,
Interested,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*",,,
Interested,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,,,
Not Interested,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),,,
More information,S s..first time..dhoni rocks...,,,
Not Interested,Ok ill tell the company,,,
Interested,"Awesome, think we can get an 8th at usf some time tonight?",,,
Not Interested,So that means you still think of teju,,,
Interested,"No I'm good for the movie, is it ok if I leave in an hourish?",,,
Not Interested,No no:)this is kallis home ground.amla home town is durban:),,,
Interested,So lets make it saturday or monday as per convenience.,,,
Interested,Hey... What time is your driving on fri? We go for evaluation on fri?,,,
Not Interested,"449050000301 You have won a å£2,000 price! To claim, call 09050000301.",,,
More information,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,,,
Not Interested,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",,,
Interested,Cancel cheyyamo?and get some money back?,,,
Not Interested,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,,,
Interested,Ok.ok ok..then..whats ur todays plan,,,
Not Interested,Good morning princess! How are you?,,,
Interested,Aiyar sorry lor forgot 2 tell u...,,,
Interested,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,,,
Not Interested,Not tonight mate. Catching up on some sleep. This is my new number by the way. ,,,
More information,"Height of \Oh shit....!!\"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay",".;-):-D""",,
Not Interested,Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,,,
Interested,"So check your errors and if you had difficulties, do correction.",,,
Not Interested,Howz pain?hope u r fine..,,,
Interested,"Sorry, I'll call later",,,
Not Interested,Good morning princess! How are you?,,,
Interested,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
Interested,U wake up already? Thanx 4 e tau sar piah it's quite nice.,,,
Not Interested,K do I need a login or anything,,,
More information,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,,,
Not Interested,LOL ... No just was busy,,,
Interested,What * u wearing?,,,
Not Interested,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,,,
Interested,Oh:)as usual vijay film or its different?,,,
Not Interested,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,,,
Interested,Have you had a good day? Mine was really busy are you up to much tomorrow night?,,,
Interested,And is there a way you can send shade's stuff to her. And she has been wonderful too.,,,
Not Interested,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,,,
More information,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",,,
Not Interested,Babe ? I lost you ... :-(,,,
Interested,Ok... Help me ask if she's working tmr a not?,,,
Not Interested,I'm not driving... Raining! Then i'll get caught at e mrt station lor.,,,
Interested,Not a drop in the tank,,,
Not Interested,(That said can you text him one more time?),,,
Interested,"Sorry, I'll call later",,,
Interested,Ok i go change also...,,,
Not Interested,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(å£1.50p. m),,,
More information,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,,,
Not Interested,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up",,,
Interested,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,,,
Not Interested,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment,,,
Interested,Hey! There's veggie pizza... :/,,,
Not Interested,Yun buying... But school got offer 2000 plus only...,,,
Interested,You sure your neighbors didnt pick it up,,,
Interested,K. I will sent it again,,,
Not Interested,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,,,
More information,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,,
Not Interested,Well. Im computerless. Time to make some oreo truffles,,,
Interested,"Haha yeah I see that now, be there in a sec",,,
Not Interested,I am not having her number sir,,,
Interested,Lol now I'm after that hot air balloon!,,,
Not Interested,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,,,
Interested,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,,,
Interested,"Yeah, we can probably swing by once my roommate finishes up with his girl",,,
